2024-12-20 10:17:16 [http-nio-8081-exec-5] INFO  org.reflections.Reflections - Reflections took 27 ms to scan 1 urls, producing 6 keys and 20 values
2024-12-20 10:17:16 [ForkJoinPool.commonPool-worker-1] INFO  com.samsa.controller.FlowController - Flow 실행 시작
2024-12-20 10:17:16 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:16 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:16 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:16 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:16 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:17 [Thread-4] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/#'을 구독했습니다.
2024-12-20 10:17:17 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/humidity'에서 메시지 수신: {"time":1734657437038,"value":23.5}
2024-12-20 10:17:17 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/infrared_and_visible'에서 메시지 수신: {"time":1734657437038,"value":16}
2024-12-20 10:17:17 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/activity'에서 메시지 수신: {"time":1734657437038,"value":0}
2024-12-20 10:17:17 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/co2'에서 메시지 수신: {"time":1734657437038,"value":1215}
2024-12-20 10:17:17 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/pressure'에서 메시지 수신: {"time":1734657437038,"value":1015.1}
